Tweet,Sentiment
covid kingcounty,Neutral
washington state reports second coronavirus death,Negative
announcing first positive case covid new york city already identified close contacts individual may exposed take appropriate measures prevent spread covid,Positve
people get coronavirus whole world wants wear surgical mask million people aids still nobody wants wear condom,Neutral
theres drive thru covid test north austin domain brockton drive austin tx fill online questionaire first getting tested,Neutral
footage shows police new orleans attempting clear bourbon street louisianas governor signed proclamation banning gatherings people amid coronavirus outbreak,Negative
time bring home manufacturing drug ingredients coming china fda says shortages begun,Negative
repswalwell protip never listen biff democrat anything ever meet deborah l birx american physician diplomat coronavirus response coordinator white house birx served ambassadoratlarge united states global aids coordinator since,Neutral
trump waited months corona virus became pandemic amp us deaths occurred declare public health emergency media would crash stock market hysteria obama it good,Negative
onairwill shirt taking advantage global pandemic profit family business immoral,Negative
cant wait white girls start lookin like white girls cause epidemic cycle kardashians steal black women white women want copy them call white people amp wonder wrong cause minds copied kardashians,Negative
really unseemly bernie praising communist china middle global pandemic started,Positve
chinas lockdown measures minimize coronavirus infections created one unexpected benefit dramatic improvement nations air quality,Neutral
trump throws tanturm calls outlets report coronavirus fake news via politicususa,Negative
downtown nashville brought knees covid joke emergency physicians critical condition fighting lives exposed sure get drank on janna stupidity cost people lives covid,Negative
gallup poll numbers handling situation outstanding best thank you,Positve
one candidate obvious dementia one candidate heart disease debating coronavirus news network good times,Negative
kzhowell lab corp country cdc trying profit using central lab people going go jail,Neutral
help us schools communities serve maintain continuity learning event prolonged school closures due coronavirus discovery education created threepronged response read,Neutral
know president big job find increasingly weird much debate dedicated things pandemic could possibly one convulsive things happen country since last world war,Negative
gallup poll numbers handling situation outstanding best thank you,Positve
sleepy joe biden also said guns killed million americans last year wants win georgia super tuesday not up got speaking location wrong again,Negative
best set info ive found corona virus worth watching full mins,Positve
question citizens get together amp file massive class action lawsuits fox news lying amp gaslighting americans something abt this surely god legal pandemic serious need truth,Negative
erinmperrine realdonaldtrump administration took unprecedented early steps response coronavirus believe dems false apocalyptic spin try politicize virus sick politics brandonbeckham christian voice,Negative
stateowned newspaper iran says masoumeh ebtekar vice president islamic republic spokeswoman hostagetakers new coronavirus state media also reported iranian cleric hadi khosroshahi died coronavirus qom,Negative
new cdc recommends people cancel postpone inperson events consist people united states weeks,Negative
facts immigrants different countries affected china virus apprehended deemed inadmissible border includes china nearly people infected border security health security rt close border,Neutral
adamserwer wonder cdc whistleblowers couple issues completely headscratching hope attributed staff budget cuts rather actual malice,Negative
arent blacks dying too yelled abyss,Neutral
joe biden said cant deal pandemic changing healthcare system sir may beg differ,Negative
first positive coronavirus case confirmed new york state,Positve
orang yang pergi travel musim covid ni sumpah selfish gila,Negative
infectiousdz im imagining people getting planes wearing ns contaminating hands pushing order drink eat,Negative
cutenshsjsjfhdkkdk,Positve
oakland schools closing due coronavirus steph ayesha curry looking help donate million meals kids rely education system eat via eatlearnplay,Neutral
needless say stand reporting white house google,Neutral
punish trump november callin coronavirus hoax people dyin,Negative
sleepy joe biden also said guns killed million americans last year wants win georgia super tuesday not up got speaking location wrong again,Negative
nd coronavirususa death washington dont feel safer get info twitter news sources trump admin completely incompetent handle,Negative
yes serious want part insanity obsessive paranoid panic stresses actual virus calm smart actions covid,Negative
corona came becoming gym babe,Neutral
people psychopaths unfit role public life,Negative
virginia dept health willing volunteer support covid response needed please register become virginia medical reserve corps volunteer email vamrcvdhvirginiagov,Positve
cdcgov issued new guidance recommending next weeks organizers cancel postpone inperson events consisting people more read cdcs latest covid guidance,Negative
step medical bill testing positive corona im,Positve
american scientists isnt coronavirus affecting africa africa,Neutral
need comprehensive response coronavirus outbreak plan mounts decisive public health response curb spread disease provide treatment need decisive economic response delivers real relief,Negative
corona virus ni vergas,Neutral
president trump announced today extend european travel ban include uk ireland part continuing efforts combat coronavirus nextrevfnc stevehiltonx,Negative
coronavirus got stressed out monterey aquarium closed public live streaming instead see birds sharks otters jellyfish penguins turtles plenty,Negative
dog hong kong tests positive coronavirus confirms,Positve
clarify isolation tested positive virus quarantine contact someone tested positive virus amp waiting see develop symptoms social distancing something everyone reduce risk transmission,Positve
wrong again trump misidentifies first coronavirus victim woman white house press conference via occupydemocrats,Negative
staying home due social distancing job shutting means money might issue reply venmo handle youre someone blessed ok currently consider helping folks reply here friendly texan thing do,Positve
watch this shows right thing stay home fullest extent possible us help slow spread virus protecting elderly vulnerable other,Negative
great idea businesses gov agencies serve public brainstorm find new ways serve vulnerable proactively implement social distancing practices customers,Neutral
good advice nyc everywhere stay home stay home wash hands,Positve
trump tells us relax were great virus expert says worst yet come,Neutral
coronavirus spreading concern growing economy taken hit tonight im addressing nation donald trump yet failed lead ive led crises before president ill trust science let experts jobs,Negative
speakerpelosi hes late late anemic hopefully make loss time speaker pelosi knocked pres trumps inadequate response spread coronavirus wtpteam onevoice,Negative
,Neutral
realdonaldtrump lie airports chaos tests need them resign thrown hell office today trumpistheworstpresidentever trumpplague covid,Negative
coronavirus houston methodist hospital media wont say bc rodeo lose money joke,Neutral
coronavirus donations btstwt fans reached almost million us according korea disaster relief association since suga whose hometown affected daegu donated million last month donations pouring in association said,Neutral
birdieglad pannlewis graceslick gdijkhuyzen haldonahue veteransi daogtriple dltrunnell robinvolpi jhwilsh flints asoldiersvoice shawbear mahogany henleycarol mzdivah kingivan badshoehabit rk jamsride,Neutral
today learned cdc mistakenly released patient texas center infectious disease later returned positive covid reading fact cdc allowed public exposed patient positive covid reading unacceptable full,Neutral
protect ya neck coronavirus making thousand prints distributing across new york city feel free city share rt world wutang,Neutral
new yorks first confirmed coronavirus case woman recently traveled iran gov cuomo said isolation manhattan home,Negative
san antonio mayor cdc released patient later tested positive covid,Positve
bernie sanders responded justification cubas human rights abuses justifying chinas human rights abuses yes really hes bad this demdebate,Negative
aint niggas dying didnt right,Negative
know actors much smarter us bs really care anyones opinion paying for,Positve
breaking second person died coronavirus covid seattle area five others critical condition,Negative
vincentcrypt lady gaga too john legend chrissy teigen people epstein flight log means corona connected pedofile wion,Neutral
equinox refused close inventible happened member infected covid came gym almost certainly spreading virus,Negative
hoes mad,Negative
heres whats gonna happen coronavirus us testing cases starting now find hundreds cases suddenly testing backlog media use political stick amplifying panic happens,Negative
beauxhandsome wild part came china too,Neutral
corona virus made new york stop worrying move back home months,Negative
we well control we pretty much shut down the numbers going get progressively better were going substantially down up one day like miracle disappear none true,Positve
jrehling world health organization estimates spanish flu death rate among infected people thats true corona could potentially tragedybut medical practices improved last years lets keep ol fingers crossed,Negative
breaking st clinical trial begin evaluating possible coronavirus vaccine could take year develop successful official says,Positve
nancy pelosi lot nerve wants lecture trump coronaviruswhile ignoring cesspool third world disease drugaddled homeless tent cities public spaces littered used needles human feces district pelosi utter fraud,Negative
us running food nations biggest retailers say food supply chain remains intact ramping meet unprecedented stockpiling brought coronavirus pandemic,Neutral
,Neutral
great idea businesses gov agencies serve public brainstorm find new ways serve vulnerable proactively implement social distancing practices customers,Neutral
never know slapshot covid,Positve
statement chair petitioning covid virus,Neutral
mississippi psc temporarily suspends disconnection utility services response covid coronavirus danemaxwellms brandonpresley brentgbailey,Negative
coronavirus ya es una pandemia opsoms qu es una pandemia,Neutral
ah yes next game looking great residentevil coronapocalypse coronavirusupdates,Positve
who cdcgov bnodesk elonmusk mar mainland china exhubei coronavirus vs international week shift,Negative
coronavirus deaths china italy iran spain france korea us uk japan netherlands switzerland germany philippines iraq australia indonesia san marino belgium greece hong kong,Negative
disastrous communications anthrax attacks cdc wrote page manual communicate public health crises trump breaking every rule playbook via carolynyjohnson thewanreport,Negative
coronavirus updatemeeting mayor excused restroom forgot turn microphone dead,Negative
breaking second person died coronavirus covid seattle area five others critical condition,Negative
florida,Neutral
coronavirus closing schools china month ago teacher thick passes best practices online learning,Positve
norway developed socialist country called students home usa citing poorly developed infrastructure say gop handling coronavirus shameful coronapocolypse demcast,Negative
